Time,Foot_X,Foot_Z,Target_H,Q_Hip,Q_Knee,Smoothed_Target_Hip,Smoothed_Target_Knee,GRF_Z
0.0,0.0,0.06499999999999995,-0.625,0.0,0.0,0.6165183145726327,-1.439464729354453,0.0
0.00125,0.0,0.06499999999999995,-0.647515328125,0.007546240058348066,-0.035353067451934436,0.6192385422459172,-1.4454508968477253,0.0
0.0025,-0.007348213408402616,0.06515354220791492,-0.6678184541748293,0.02079761969041449,-0.09663752004211897,0.6201921077065976,-1.447140718127936,0.0
0.00375,-0.019908827784245367,0.06618946401072567,-0.6861692054290045,0.03818910055214263,-0.17596843920354782,0.619912649842058,-1.4457961081766395,0.0
0.005,-0.035847625855760845,0.06896097914556998,-0.7027997547015147,0.058393018606364304,-0.2668232569763537,0.6186610327028224,-1.4421513885397577,0.0
0.00625,-0.05358982726922151,0.07408716249211689,-0.7179091481035498,0.08030613182175537,-0.3639170312944682,0.6162853635394753,-1.4357347651125676,0.0
0.007500000000000001,-0.07181972411122456,0.08182149126897459,-0.7316639473178254,0.10304285526292611,-0.463072344983926,0.6134366828809882,-1.428287976466065,0.0
0.00875,-0.08949043125386683,0.09205936338274062,-0.7442025931719239,0.1259361692119565,-0.5611368159201536,0.6073989345486244,-1.4128032243646769,0.0
0.01,-0.10583516958628851,0.10442615864793225,-0.7556401715663315,0.14848277795961112,-0.655662724884586,0.603116314398741,-1.4019648804988787,0.0
0.01125,-0.12031676137200233,0.11835928238055377,-0.7660754239272229,0.17038176291320467,-0.7450832384953853,0.5983291045689638,-1.3899673987020176,0.0
0.012499999999999999,-0.13265440060401312,0.13325306708015644,-0.7755947076317552,0.19146092728062258,-0.8283707738670751,0.59324404307702,-1.3773200558625607,0.0
0.013749999999999998,-0.14273893316575642,0.14851406392626665,-0.7842753275714424,0.2116444137114853,-0.9049112229061378,0.5876136227682263,-1.3634021612031997,0.0
0.014999999999999998,-0.15058736553638008,0.1636089060822235,-0.7921875925185656,0.23091938219408775,-0.9743769147926901,0.5798435869665599,-1.3442932961044967,0.0
0.016249999999999997,-0.15629856280214183,0.17808445847648346,-0.7993953794006764,0.24929639986374477,-1.0365600113746554,0.5718555037659313,-1.324734312001602,0.0
0.017499999999999998,-0.16000876286154087,0.19155491955516218,-0.8059579888645249,0.2668154267455009,-1.0914378148954023,0.5635616132325989,-1.304504058821198,0.0
0.01875,-0.16188615432849693,0.2037277947927132,-0.8119310202366081,0.2835347995361387,-1.1391551128197375,0.5569777685847039,-1.28849885654054,0.0
0.02,-0.16211560614491655,0.21440706256498332,-0.8173669393888171,0.2995265730467543,-1.180000107956248,0.5503947879148355,-1.2725428889939567,0.0
0.02125,-0.16088225655499588,0.22348752131249527,-0.8223146436499619,0.3148568840515548,-1.2143168509991724,0.5438355524529251,-1.2566858252243696,0.0
0.022500000000000003,-0.15835624523204894,0.2309281830862512,-0.8268195820486717,0.3295828286063144,-1.2424884681997765,0.5349343312990774,-1.2352166836592027,0.0
0.023750000000000004,-0.15468932213477155,0.23674074424877845,-0.8309225056616057,0.343730641266842,-1.2648070606195094,0.5282224188742588,-1.2190618943799856,0.0
0.025000000000000005,-0.1500003888307395,0.24094597513317756,-0.834662404290768,0.35733878948011916,-1.2817134249886284,0.5217491210469564,-1.203510676247632,0.0
0.026250000000000006,-0.14440651126449375,0.24363379471333146,-0.8380752960219896,0.3704371576889729,-1.2936630702909262,0.5131495889834161,-1.182886347062413,0.0
0.027500000000000007,-0.13800923419061134,0.24492065761746953,-0.8411929526768929,0.38302836791672423,-1.301002587790805,0.5046693769611849,-1.1625795936324004,0.0
0.028750000000000008,-0.13088354075897152,0.24490890383344877,-0.8440445998009698,0.39511155858985336,-1.3040972815451986,0.4963092636934615,-1.1425887763567721,0.0
0.03000000000000001,-0.1230967528827277,0.24371849078001967,-0.8466570561126984,0.40668321374108735,-1.3033220687831715,0.48816874306303254,-1.123148380355884,0.0
0.03125000000000001,-0.11471064341881679,0.24148082441199126,-0.8490549338884135,0.4177389884315368,-1.299058712566546,0.4805519736092303,-1.104980536383,0.0
0.03250000000000001,-0.10578417453877081,0.23833471226527198,-0.8512609525135518,0.42827713413113855,-1.2917031796541292,0.4744758565158989,-1.0905034808239815,0.0
0.03375000000000001,-0.09637727729531251,0.23442541043390186,-0.8532966521169334,0.4383075152513515,-1.281705469625755,0.4685588746227653,-1.0764197417202657,0.0
0.03500000000000001,-0.0865589413153165,0.22991253988222227,-0.8551815234301475,0.44783904593438184,-1.2694845618248403,0.4610143811359009,-1.0584786346242763,0.0
0.03625000000000001,-0.07639763046756737,0.22494381610887132,-0.8569320481678421,0.45686510451700385,-1.2553409947831302,0.45364259286932707,-1.040963134712211,0.0
0.03750000000000001,-0.06594891067467112,0.21963055903308198,-0.8585631565227025,0.46538151765939645,-1.239562421495577,0.4464219425535684,-1.023820286714554,0.0
0.038750000000000014,-0.05527037570611734,0.2140760515596497,-0.8600883227581626,0.4733863425859492,-1.2224199473594077,0.4396718970379748,-1.007806489552273,0.0
0.040000000000000015,-0.04442111719272149,0.20837378833832837,-0.8615198695571583,0.48088257258776407,-1.204182024020615,0.43356400395473116,-0.9933260224078284,0.0
0.041250000000000016,-0.03346373342514147,0.20261041671177077,-0.8628691352899982,0.4878790999230523,-1.1851183782745818,0.42757212080597184,-0.9791295749916331,0.0
0.04250000000000002,-0.02246474179405389,0.19686603259734997,-0.8641461837420021,0.4943851306718874,-1.16546877126053,0.4216124749662031,-0.9650178007583978,0.0
0.04375000000000002,-0.011488753425094866,0.1912063024895878,-0.8653598595323945,0.5004091913735983,-1.1454400762397376,0.4159912684710909,-0.9517146920283357,0.0
0.04500000000000002,-0.0005969484910537115,0.18568240531444663,-0.8665180937645146,0.5059618342836377,-1.125223808872037,0.4107943910527225,-0.9394220578625488,0.0
0.04625000000000002,0.010150758860588666,0.1803358313178206,-0.8676280261808491,0.5110559409684025,-1.1049995681325586,0.4045785514409835,-0.924726139065861,0.0
0.04750000000000002,0.02069582727901309,0.1751996483472007,-0.8686951646175526,0.5156924573423118,-1.0848615816983904,0.3993954826209538,-0.9124774321038722,0.0
0.04875000000000002,0.030995746732088575,0.1702836867620514,-0.8697249145066951,0.5198815115840401,-1.064936572747172,0.3945015966148822,-0.9009169486314671,0.0
0.050000000000000024,0.041002584309272117,0.16560134278240624,-0.8707220649491009,0.5236337994385379,-1.0453371915167808,0.3901109753088918,-0.8905493359810124,0.0
0.051250000000000025,0.0506721045803053,0.16115967496705563,-0.8716909823392768,0.5269624184857093,-1.0261732585118393,0.3864932223647079,-0.8820098099318824,0.0
0.052500000000000026,0.05996194854493944,0.15696229286818186,-0.8726358044783091,0.5298850040229721,-1.0075636624869673,0.3820541748259402,-0.8715351870539678,0.0
0.05375000000000003,0.06882949323739032,0.15301198838806873,-0.873559694184231,0.5324127606728339,-0.989556649967516,0.3779347537900032,-0.8618178439508593,0.0
0.05500000000000003,0.07725197751061597,0.14929673440117486,-0.8744652639510596,0.5345516876853404,-0.9721893120129361,0.37421897419431926,-0.8530552508072503,0.0
0.05625000000000003,0.08520729351699707,0.14580204306502614,-0.8753549243730949,0.5363095392465855,-0.955499517987606,0.3705375535756358,-0.8443760877162618,0.0
0.05750000000000003,0.09267529957314255,0.14251359219085646,-0.8762306810397796,0.5376917902737288,-0.9395058748184225,0.3676550432893334,-0.8375821662330012,0.0
0.05875000000000003,0.09964199288302192,0.13941412535244774,-0.8770946702208408,0.5387099532014066,-0.9242508046619844,0.36419971302180043,-0.8294401021417728,0.0
0.06000000000000003,0.10609040306995365,0.13649097476929772,-0.8779482868945641,0.5393663627136209,-0.9097234907447469,0.3606900843327298,-0.8211719633184185,0.0
0.061250000000000034,0.11201685848739051,0.13372370917584192,-0.8787926581476517,0.5396612855620642,-0.8958982150196485,0.3579959424317669,-0.8148263403445295,0.0
