Condition,Mean_reward,Std_reward,N
full_model,36.93,6.03,3
no_gain_net,35.67,6.71,3
no_reaction_net,43.95,6.99,3
no_action_net,49.18,1.8,3
no_cpg_modulation,35.78,5.78,3
