Time,Foot_X,Foot_Z,Target_H,Q_Hip,Q_Knee,Smoothed_Target_Hip,Smoothed_Target_Knee,GRF_Z
0.0,0.0,0.06499999999999995,-0.6124999999999999,0.0,0.0,0.6542866790334896,-1.5314796466145577,0.0
0.00125,0.0,0.06499999999999995,-0.624390328125,0.008024365463170867,-0.03760805758953636,0.6592738572299983,-1.542670708806231,0.0
0.0025,-0.007819611152410741,0.06517579560113185,-0.635727702803434,0.02213923216744046,-0.10291862993345807,0.6604231611229816,-1.5449950482214467,0.0
0.00375,-0.021207918037808547,0.06635543130544425,-0.6465814291356196,0.04067092885634069,-0.18751456570004993,0.6607700216720043,-1.5453219283509962,0.0
0.005,-0.03819673040272378,0.06951034936116335,-0.6570134883165448,0.062199886185926326,-0.28445230092701734,0.6604303277106636,-1.5439490393989324,0.0
0.00625,-0.057090983782722274,0.07534679974687197,-0.6670698073803452,0.08554580885655912,-0.3881171174628679,0.6594567047551475,-1.541001578734829,0.0
0.007500000000000001,-0.07646952256337425,0.08415624261294102,-0.6767788622636884,0.10976703420122194,-0.4941049698593275,0.6579102045339288,-1.536650662536,0.0
0.00875,-0.09520481167348892,0.09582724138759535,-0.6861545994654622,0.13415471817739774,-0.5990916664561783,0.6557015427172572,-1.5306505546429783,0.0
0.01,-0.11247024135577875,0.1099429856813659,-0.6952010773099331,0.15821074328823126,-0.7006645006426959,0.6530786073476257,-1.523675440570004,0.0
0.01125,-0.12771984555076948,0.12590337397462664,-0.7039171736608677,0.18161802265366128,-0.7971622723676692,0.6494550998975037,-1.514180955613588,0.0
0.012499999999999999,-0.14065057632921438,0.143038499374606,-0.7122999502561523,0.20419440543304693,-0.8874667289677998,0.6459205612378072,-1.5050228576840479,0.0
0.013749999999999998,-0.15114446509706173,0.16068331895236454,-0.7203475203509503,0.2258688564424296,-0.970925349953436,0.6412376780451656,-1.4929968570622092,0.0
0.014999999999999998,-0.15922871785193904,0.17824267177741804,-0.7280597318656927,0.24663272233827863,-1.047151103527249,0.6369506271659744,-1.4820687640845853,0.0
0.016249999999999997,-0.16501687882812993,0.1952008441080617,-0.7354394744696626,0.26653131071848807,-1.1160287446532278,0.6325099124048386,-1.4708200323106144,0.0
0.017499999999999998,-0.16868604156512912,0.21115237600772757,-0.7424923602435379,0.28563483776387244,-1.1776051284278726,0.6281616846572454,-1.4598655228404898,0.0
0.01875,-0.17044083319227588,0.22579144779521487,-0.7492265437753585,0.3040254869256371,-1.2320535740798029,0.6233530205029737,-1.44780897532392,0.0
0.02,-0.1704940544255156,0.23890680200909592,-0.7556523494073351,0.3217861806144963,-1.279647216769649,0.617994273788201,-1.4344306497701873,0.0
0.02125,-0.16905440079451559,0.25037319349976755,-0.7617808665746157,0.3389829319809736,-1.3206488368830227,0.6124702815599071,-1.420693205059986,0.0
0.022500000000000003,-0.1663056285949535,0.26011357741846763,-0.7676242402518425,0.35567192944236536,-1.3553679579201254,0.60622431438561,-1.405215299858285,0.0
0.023750000000000004,-0.16241252426620248,0.2681077729828115,-0.7731949379208081,0.37189270896148335,-1.384119439214479,0.6000536480829818,-1.389974086254107,0.0
0.025000000000000005,-0.15751591806678425,0.27437346452358735,-0.7785059460863809,0.3876750059462093,-1.4072584903166272,0.5940982508314269,-1.3753093065100628,0.0
0.026250000000000006,-0.15173749246526036,0.2789700709688111,-0.7835705551902336,0.403039573995999,-1.4251747538611508,0.58821385745989,-1.3608603437817286,0.0
0.027500000000000007,-0.1451813376033926,0.28199137871539787,-0.7884020143384108,0.41799754532145794,-1.4382733335975764,0.5814288355511156,-1.3442438454201449,0.0
0.028750000000000008,-0.1379353223256002,0.2835545812853745,-0.7930127373902067,0.4325442693297458,-1.4469197891535575,0.575505319944038,-1.329773237779168,0.0
