seed,final_reward,avg_eval_reward,steps,notes
0,-4.305261611938477,-11.199953079223633,50000,
1,-2.3722453117370605,-11.825576782226562,50000,
2,-4.668713092803955,-21.35765266418457,50000,
3,-4.109821319580078,-14.817991256713867,50000,
4,-2.162993907928467,-11.126642227172852,50000,
