Phase,Hip,Knee,dHip_dphi,dKnee_dphi
0.0,0.30071304412630245,-0.6799359864157207,-0.09803512218963584,0.19128307922737386
0.005936494054403409,0.3001491874495136,-0.6788380113114052,-0.09194205523521802,0.17865379727923303
0.01187298810880471,0.29962124713644106,-0.6778144762865217,-0.0859349285780932,0.1662042772444742
0.017809482163212337,0.2991287130030201,-0.6768643141855385,-0.08001374221825264,0.1539345191230802
0.023745976217613637,0.2986710748651877,-0.6759864578529278,-0.07417849615570954,0.1418445229150776
0.029682470272017047,0.29824782253887966,-0.6751798401331587,-0.06842919039045489,0.12993428862044876
0.035618964326420456,0.29785844584003196,-0.6744433938707013,-0.06276582492249087,0.11820381623919726
0.04155545838082176,0.2975024345845809,-0.6737760519100254,-0.057188399751819705,0.10665310577132844
0.047491952435227275,0.2971792785884623,-0.6731767470956009,-0.051696914878435474,0.09528215721682928
0.05342844648963069,0.2968884676676126,-0.6726444122718984,-0.04629137030234411,0.08409097057571222
0.059364940544034094,0.29662949163796754,-0.6721779802833874,-0.04097176602354319,0.0730795458479732
0.06530143459843751,0.2964018403154635,-0.6717763839745383,-0.035738102042033176,0.06224788303361187
0.07123792865284091,0.2962050035160365,-0.6714385561898208,-0.03059037835781404,0.051595982132628816
0.07717442270724433,0.29603847105562275,-0.6711634297737055,-0.025528594970885648,0.041123843145023986
0.08311091676164985,0.29590173275015796,-0.6709499375706615,-0.020552751881246348,0.03083146607079309
0.08904741081605114,0.29579427841557865,-0.6707970124251595,-0.015662849088901254,0.020718850909947854
0.09498390487045455,0.2957155978678207,-0.6707035871816694,-0.0108588865938452,0.010785997662476652
0.10092039892485796,0.29566518092282046,-0.6706685946846617,-0.006140864396079942,0.001032906328383456
0.10685689297926348,0.29564251739651376,-0.6706909677786055,-0.0015087824956036347,-0.00854042309233534
0.1127933870336669,0.29564709710483666,-0.670769639307971,0.003037359107579766,-0.017933990599671837
0.11872988108806819,0.2956784098637256,-0.6709035421172287,0.0074975604134712125,-0.02714779619362777
0.12466637514247159,0.29573594548911625,-0.6710916090508483,0.011871821422073419,-0.036181839874209115
0.13060286919687503,0.29581919379694516,-0.6713327729533001,0.01616014213338475,-0.04503612164141224
0.1365393632512763,0.2959276446031478,-0.6716259666690533,0.020362522547403852,-0.05371064149523423
0.14247585730568393,0.2960607877236612,-0.6719701230425794,0.024478962664136496,-0.06220539943568726
0.14841235136008524,0.2962181129744205,-0.672364174918347,0.028509462483574048,-0.07052039546275367
0.15434884541448865,0.29639911017136245,-0.672807055140827,0.03245402200572235,-0.07865562957644477
0.16028533946889204,0.2966032691304228,-0.6732976965544889,0.036312641230579826,-0.08661110177675796
0.16622183352329756,0.2968300796675378,-0.6738350320038031,0.04008532015814778,-0.09438681206369576
0.1721583275776989,0.2970790315986436,-0.6744179943332393,0.04377205878842243,-0.10198276043725027
0.17809482163210227,0.2973496147396761,-0.6750455163872677,0.04737285712140742,-0.10939894689742934
0.1840313156865057,0.2976413189065716,-0.6757165310103584,0.05088771515710176,-0.11663537144423063
0.1899678097409091,0.2979536339152661,-0.6764299710469813,0.05431663289550534,-0.1236920340776536
0.1959043037953083,0.29828604958169547,-0.677184769341606,0.057659610336615666,-0.1305689347976941
0.20184079784971592,0.2986380557217966,-0.6779798587387041,0.06091664748044001,-0.13726607360436605
0.20777729190411723,0.29900914215150465,-0.6788141720827436,0.06408774432697015,-0.14378345049765295
0.21371378595852275,0.29939879868675634,-0.679686642218196,0.06717290087621167,-0.1501210654775664
0.21965028001292616,0.2998065151434874,-0.6805962019895303,0.07017211712816139,-0.15627891854409978
0.22558677406732955,0.3002317813376342,-0.6815417842412173,0.07308539308282017,-0.1622570096972547
0.23152326812173507,0.3006740870851327,-0.6825223218177268,0.07591272874018914,-0.16805533893703406
0.2374597621761385,0.30113292220191895,-0.6835367475635283,0.07865412410026637,-0.17367390626343315
0.2433962562305398,0.30160777650392895,-0.6845839943230921,0.08130957916305193,-0.17911271167645237
0.24933275028494317,0.30209813980709926,-0.6856629949408888,0.08387909392854768,-0.1843717551760955
0.2552692443393445,0.30260350192736535,-0.6867726822613873,0.08636266839675188,-0.18945103676235908
0.2612057383937521,0.3031233526806643,-0.6879119891290598,0.08876030256766773,-0.1943505564352499
0.26714223244815344,0.30365718188293095,-0.6890798483883737,0.09107199644129013,-0.19907031419475718
0.2730787265025568,0.30420447935010214,-0.6902751928838002,0.09329775001762278,-0.20361031004088842
