Wall time,Step,Value
1768469371.619804,2048,-548.928466796875
1768469374.6382496,4096,-548.928466796875
1768469377.5382743,6144,-119.82173919677734
1768469380.4477215,8192,-119.82173919677734
1768469383.473187,10240,150.19989013671875
1768469386.6064737,12288,-81.22810363769531
1768469389.572478,14336,-163.5468292236328
1768469392.547546,16384,-163.5468292236328
1768469395.769428,18432,-87.97002410888672
1768469399.2184973,20480,-87.97002410888672
1768469402.4765537,22528,11.64946174621582
1768469405.5853233,24576,11.64946174621582
1768469408.8046224,26624,129.47657775878906
1768469411.9071367,28672,129.47657775878906
1768469415.03641,30720,149.22003173828125
1768469418.1507847,32768,149.22003173828125
1768469421.6871896,34816,207.09506225585938
1768469425.2495246,36864,207.09506225585938
1768469428.484222,38912,204.64784240722656
1768469431.7269838,40960,204.64784240722656
1768469435.0082846,43008,222.5355987548828
1768469438.3662095,45056,222.5355987548828
1768469441.7373035,47104,228.98825073242188
1768469444.9972205,49152,228.98825073242188
1768469448.175228,51200,235.5757293701172
1768469451.4774387,53248,235.5757293701172
1768469454.6649387,55296,295.5068054199219
1768469458.121048,57344,241.5780487060547
1768469461.7666316,59392,241.5780487060547
1768469465.4939446,61440,239.85537719726562
1768469468.9827662,63488,239.85537719726562
1768469472.279304,65536,241.26614379882812
1768469475.510214,67584,241.26614379882812
1768469478.8206544,69632,241.700927734375
1768469482.1559618,71680,241.700927734375
1768469485.3964684,73728,288.3243713378906
1768469488.6198082,75776,246.13253784179688
1768469491.8320034,77824,246.13253784179688
1768469495.218749,79872,245.51010131835938
1768469498.6103299,81920,245.51010131835938
1768469501.9148617,83968,271.3002624511719
1768469505.1520395,86016,271.3002624511719
1768469508.4496672,88064,306.2880554199219
1768469511.6508098,90112,306.2880554199219
1768469514.8253477,92160,348.21673583984375
1768469518.0008721,94208,348.21673583984375
1768469521.3654144,96256,361.8764953613281
1768469524.6278615,98304,330.5190734863281
1768469528.2177489,100352,330.5190734863281
1768469531.8742287,102400,327.77252197265625
1768469535.1665647,104448,327.77252197265625
1768469538.5525765,106496,343.60491943359375
1768469542.4445548,108544,343.60491943359375
1768469545.9238398,110592,350.5703125
1768469549.2273982,112640,345.7434997558594
1768469552.553056,114688,345.7434997558594
1768469555.8114812,116736,359.35906982421875
1768469559.0760877,118784,333.6226806640625
1768469562.3377979,120832,306.2863464355469
1768469565.618939,122880,306.2863464355469
1768469568.9200466,124928,307.62554931640625
1768469572.2315953,126976,307.62554931640625
1768469575.7544494,129024,306.4042053222656
1768469579.0711455,131072,306.4042053222656
1768469582.5728674,133120,313.7956237792969
1768469585.8812637,135168,313.7956237792969
1768469589.091832,137216,326.03955078125
1768469592.4522367,139264,326.03955078125
1768469596.8551989,141312,323.4751281738281
1768469600.841161,143360,323.4751281738281
1768469604.3447177,145408,321.6834716796875
1768469607.6453001,147456,321.6834716796875
1768469610.8856628,149504,317.81982421875
1768469614.1247816,151552,317.81982421875
1768469617.5427995,153600,316.99072265625
1768469620.8027625,155648,316.99072265625
1768469624.1524699,157696,317.3252868652344
1768469628.8626204,159744,317.3252868652344
1768469632.9972177,161792,336.70159912109375
1768469636.6905463,163840,336.70159912109375
1768469640.210919,165888,332.3617248535156
1768469643.8739345,167936,311.9857482910156
1768469647.531286,169984,311.9857482910156
1768469651.0697553,172032,298.6033935546875
1768469654.8617218,174080,298.6033935546875
1768469658.7173924,176128,298.1229248046875
1768469662.7035463,178176,298.1229248046875
1768469667.0143733,180224,300.082763671875
1768469670.5994716,182272,298.0785217285156
1768469674.2256272,184320,298.0785217285156
1768469677.8780606,186368,296.6962890625
1768469681.4427724,188416,255.25442504882812
1768469685.072639,190464,235.66212463378906
1768469688.915229,192512,235.66212463378906
1768469692.5323448,194560,235.5404510498047
1768469696.8095214,196608,235.5404510498047
1768469701.0212915,198656,245.5394287109375
1768469704.6454444,200704,245.5394287109375
1768469708.2500038,202752,245.6562957763672
1768469712.0180826,204800,231.05747985839844
1768469715.7280498,206848,231.05747985839844
1768469719.4577305,208896,236.30593872070312
1768469723.377208,210944,236.30593872070312
1768469727.555984,212992,235.40318298339844
1768469735.708175,215040,235.40318298339844
1768469740.2947967,217088,243.006103515625
1768469745.3708403,219136,243.006103515625
1768469750.0234575,221184,241.80389404296875
1768469754.7049882,223232,241.80389404296875
1768469758.8054662,225280,246.3461151123047
1768469763.7575238,227328,247.3351593017578
1768469768.2332067,229376,247.3351593017578
1768469772.8444781,231424,256.5642395019531
1768469777.316875,233472,256.5642395019531
1768469782.5236368,235520,267.1923522949219
1768469787.698453,237568,267.1923522949219
1768469793.0370636,239616,278.2873840332031
1768469797.5030444,241664,278.2873840332031
1768469801.9629204,243712,291.75
1768469806.7204845,245760,291.75
1768469811.5387402,247808,293.28460693359375
1768469816.631077,249856,293.28460693359375
1768469821.3709416,251904,302.4034118652344
