Phase,Hip,Knee,dHip_dphi,dKnee_dphi
0.0,0.300712932370126,-0.6799355309419896,-0.09804823460571699,0.19128895696797343
0.005936494054403409,0.3001489991124303,-0.6788375216967497,-0.0919547436374634,0.17865942211745636
0.01187298810880471,0.29962098472183335,-0.6778139540228684,-0.08594719760672967,0.16620965235628238
0.017809482163212337,0.29912837898672345,-0.6768637607459599,-0.0800255965135073,0.1539396476844334
0.023745976217613637,0.2986706716954912,-0.6759858746916422,-0.0741899403578095,0.1418494081019369
0.029682470272017047,0.29824735263652535,-0.6751792286855299,-0.06844022913962713,0.12993893360877434
0.035618964326420456,0.29785791159821556,-0.6744427555532394,-0.06277646285896273,0.1182082242049502
0.04155545838082176,0.2975018383689513,-0.673775388120387,-0.057198641515818036,0.10665727989046914
0.047491952435227275,0.2971786227371216,-0.6731760592125875,-0.051706765110187264,0.09528610066531858
0.05342844648963069,0.29688775449111626,-0.6726437016554583,-0.04630083364207647,0.08409468652951096
0.059364940544034094,0.29662872341932445,-0.6721772482746142,-0.040980847111483185,0.07308303748304158
0.06530143459843751,0.2964010193101358,-0.6717756318956717,-0.03574680551840794,0.06225115352591097
0.07123792865284091,0.2962041319519397,-0.6714377853442468,-0.030598708862850574,0.05159903465811921
0.07717442270724433,0.2960375511331255,-0.6711626414459554,-0.025536557144811133,0.041126680879666165
0.08311091676164985,0.29590076664208254,-0.6709491330264131,-0.02056035036428767,0.030834092190548217
0.08904741081605114,0.2957932682672004,-0.6707961929112362,-0.01567008852128538,0.02072126859077621
0.09498390487045455,0.29571454579686846,-0.6707027539260406,-0.010865771615799371,0.010788210080339014
0.10092039892485796,0.2956640890194763,-0.6706677488964425,-0.0061473996478310965,0.0010349166592407665
0.10685689297926348,0.2956413877234129,-0.6706901106480574,-0.0015149726173790158,-0.008538611672522744
0.1127933870336669,0.295645931697068,-0.6707687720065013,0.0030315094755532755,-0.01793237491494335
0.11872988108806819,0.2956772107288311,-0.6709026657973906,0.007492046630966425,-0.027146373068022225
0.12466637514247159,0.2957347146070913,-0.6710907248463406,0.011866638848863343,-0.036180606131766234
0.13060286919687503,0.2958179331202383,-0.6713318819789678,0.01615528612924225,-0.04503507410617086
0.1365393632512763,0.29592635605666123,-0.6716250700208873,0.020357988472101962,-0.053709776991234304
0.14247585730568393,0.2960594732047499,-0.6719692217977168,0.024474745877448145,-0.06220471478696771
0.14841235136008524,0.29621677435289345,-0.6723632701350704,0.02850555834527227,-0.07051988749335378
0.15434884541448865,0.2963977492894813,-0.672806147858565,0.0324504258755799,-0.07865529511040395
0.16028533946889204,0.29660188780290303,-0.6732967877938162,0.03630934846836973,-0.08661093763811548
0.16622183352329756,0.29682867968154797,-0.6738341227664402,0.04008232612364303,-0.094386815076491
0.1721583275776989,0.29707761471380545,-0.6744170856020529,0.04376935884139582,-0.10198292742552262
0.17809482163210227,0.29734818268806507,-0.67504460912627,0.04737044662163212,-0.10939927468521808
0.1840313156865057,0.2976398733927162,-0.6757156261647078,0.05088558946435062,-0.11663585685557504
0.1899678097409091,0.29795217661614803,-0.6764290695429821,0.05431478736955118,-0.1236926739365933
0.1959043037953083,0.2982845821467501,-0.6771838720867082,0.05765804033723157,-0.13056972592826782
0.20184079784971592,0.2986365797729123,-0.6779789666215039,0.06091534836739891,-0.1372670128306135
0.20777729190411723,0.29900765928302336,-0.6788132859729832,0.06408671146004485,-0.1437845346436133
0.21371378595852275,0.29939731046547313,-0.6796857629667632,0.06717212961517514,-0.15012229136727892
0.21965028001292616,0.2998050231086507,-0.6805953304284592,0.07017160283278663,-0.15628028300160374
0.22558677406732955,0.30023028700094584,-0.6815409211836876,0.0730851311128802,-0.16225850954658982
0.23152326812173507,0.30067259193074786,-0.6825214680580644,0.0759127144554569,-0.1680569710022391
0.2374597621761385,0.30113142768644596,-0.6835359038772048,0.0786543528605147,-0.1736756673685478
0.2433962562305398,0.30160628405642953,-0.6845831614667249,0.08131004632805382,-0.17911459864551582
0.24933275028494317,0.3020966508290885,-0.6856621736522418,0.08387979485807602,-0.18437376483314713
0.2552692443393445,0.3026020177928117,-0.68677187325937,0.08636359845057963,-0.18945316593143818
0.2612057383937521,0.30312187473598945,-0.6879111931137274,0.0887614571055679,-0.19435280194039561
0.26714223244815344,0.30365571144700987,-0.6890790660409274,0.09107337082303564,-0.19907267286000918
0.2730787265025568,0.30420301771426317,-0.6902744248665875,0.09329933960298646,-0.20361277869028582
0.2790152205569602,0.30476328332613856,-0.6914962024163231,0.0954393634454195,-0.20797311943122354
0.28495171461136154,0.30533599807102557,-0.6927433315157505,0.097493442350334,-0.21215369508282136
0.2908882086657671,0.305920651737314,-0.6940147449904864,0.09946157631773204,-0.21615450564508348
0.2968247027201705,0.3065167341133926,-0.6953093756661456,0.10134376534761158,-0.2199755511180055
0.3027611967745739,0.30712373498765105,-0.6966261563683441,0.10314000943997316,-0.22361683150158865
0.3086976908289773,0.30774114414847875,-0.6979640199226983,0.104850308594817,-0.22707834679583316
0.3146341848833807,0.3083684513842651,-0.6993218991548238,0.10647466281214293,-0.2303600970007389
0.32057067893778407,0.3090051464833998,-0.7006987268903371,0.10801307209195113,-0.23346208211630623
0.3265071729921896,0.309650719234272,-0.702093435954854,0.10946553643424198,-0.23638430214253578
0.33244366704659095,0.31030465942527075,-0.7035049591739893,0.11083205583901393,-0.23912675707942443
0.33838016110099434,0.31096645684478613,-0.7049322293733603,0.11211263030626852,-0.24168944692697572
0.3443166551553978,0.3116356012812073,-0.7063741793785826,0.11330725983600526,-0.24407237168518803
0.35025314920980327,0.31231158252292374,-0.7078297420152725,0.11441594442822463,-0.24627553135406258
0.35618964326420666,0.31299389035832487,-0.7092978501090453,0.1154386840829256,-0.24829892593359754
0.362126137318608,0.31368201457579964,-0.7107774364855165,0.11637547880010851,-0.25014255542379304
0.3680626313730114,0.31437544496373815,-0.7122674339703033,0.11722632857977398,-0.2518064198246509
0.3739991254274148,0.3150736713105295,-0.713766775389021,0.11799123342192154,-0.25329051913616996
0.3799356194818161,0.31577618340456287,-0.7152743935672853,0.11867019332655106,-0.25459485335834986
0.38587211353622164,0.31648247103422855,-0.7167892213307135,0.11926320829366319,-0.2557194224911921
0.391808607590625,0.31719202398791513,-0.7183101915049201,0.11977027832325723,-0.256664226534695
0.3977451016450284,0.3179043320540123,-0.7198362369155215,0.12019140341533344,-0.25742926548885914
0.40368159569943185,0.3186188850209093,-0.7213662903881335,0.12052658356989181,-0.25801453935368485
0.4096180897538374,0.31933517267699607,-0.7228992847483728,0.12077581878693242,-0.2584200481291721
0.4155545838082386,0.3200526848106611,-0.7244341528218537,0.12093910906645505,-0.2586457918153201
0.42149107786264206,0.32077091121029466,-0.7259698274341938,0.12101645440845993,-0.2586917704121297
0.4274275719170455,0.32148934166428594,-0.7275052414110085,0.12100785481294696,-0.2585579839196007
0.43336406597144894,0.3222074659610241,-0.7290393275779136,0.12091331027991607,-0.2582444323377328
0.43930056002584805,0.3229247738888984,-0.7305710187605241,0.12073282080936765,-0.25775111566652675
0.44523705408025566,0.32364075523629954,-0.7320992477844592,0.12046638640130097,-0.2570780339059813
0.45117354813465704,0.3243548997916154,-0.7336229474753312,0.12011400705571668,-0.25622518705609765
0.45711004218906254,0.3250666973432364,-0.7351410506587585,0.11967568277261441,-0.2551925751168748
0.463046536243466,0.32577563767955137,-0.7366524901603554,0.11915141355199438,-0.2539801980883137
0.4689830302978694,0.3264812105889499,-0.7381561988057387,0.11854119939385654,-0.25258805597041384
0.4749195243522749,0.32718290585982174,-0.7396511094205247,0.11784504029820056,-0.2510161487631745
