Wall time,Step,Value
1768543030.5263727,4096,325.1695861816406
1768543033.9369473,6144,325.1695861816406
1768543037.1540294,8192,270.2530212402344
1768543040.3819,10240,-85.78593444824219
1768543043.687165,12288,-85.78593444824219
1768543047.3807883,14336,236.20095825195312
1768543050.8869839,16384,236.20095825195312
1768543054.457068,18432,263.08251953125
1768543057.9059703,20480,263.08251953125
1768543061.3543835,22528,259.71649169921875
1768543064.7558172,24576,259.71649169921875
1768543068.207686,26624,258.3464050292969
1768543071.6545336,28672,258.3464050292969
1768543075.1690001,30720,265.90045166015625
1768543078.6540506,32768,265.90045166015625
1768543082.184895,34816,265.3062438964844
1768543085.6675231,36864,265.3062438964844
1768543089.1527107,38912,159.8799285888672
1768543092.702247,40960,159.8799285888672
1768543096.2225406,43008,178.7716064453125
1768543099.8232267,45056,178.7716064453125
1768543104.1499882,47104,239.64669799804688
1768543107.8918834,49152,167.2100067138672
1768543111.4970944,51200,167.2100067138672
1768543115.101113,53248,238.40008544921875
1768543118.7206059,55296,238.40008544921875
1768543122.4727466,57344,299.8818664550781
1768543127.3907843,59392,299.8818664550781
1768543131.6704485,61440,300.1237487792969
1768543136.0076592,63488,297.7030334472656
1768543140.2754798,65536,297.7030334472656
1768543145.3435318,67584,298.3407897949219
1768543150.1578343,69632,298.3407897949219
1768543155.172353,71680,318.4393005371094
1768543159.4090126,73728,318.4393005371094
1768543163.4841094,75776,334.5973205566406
1768543167.6029215,77824,334.5973205566406
1768543171.7130985,79872,326.8958435058594
1768543176.078203,81920,326.8958435058594
1768543180.3204548,83968,323.6882019042969
1768543185.258246,86016,277.8001403808594
1768543191.0159974,88064,245.18338012695312
1768543196.154862,90112,245.18338012695312
1768543200.6506424,92160,206.4486846923828
1768543207.551463,94208,206.4486846923828
1768543213.6545298,96256,208.19894409179688
1768543219.8144083,98304,208.19894409179688
1768543225.4845355,100352,209.0599365234375
1768543230.2361867,102400,209.0599365234375
1768543234.9907262,104448,221.7684783935547
1768543239.7213185,106496,189.19053649902344
1768543244.4702604,108544,164.9439239501953
1768543249.1661577,110592,164.9439239501953
1768543255.891709,112640,161.30682373046875
1768543265.5318172,114688,161.30682373046875
1768543271.6510534,116736,166.1067352294922
1768543276.7545242,118784,166.1067352294922
1768543281.4223907,120832,167.36441040039062
1768543286.1336453,122880,167.36441040039062
1768543290.700326,124928,147.777099609375
1768543295.3398554,126976,147.777099609375
1768543300.0202172,129024,166.44789123535156
1768543305.3547251,131072,166.44789123535156
1768543310.4840662,133120,170.11007690429688
1768543315.6698043,135168,170.11007690429688
1768543320.9521308,137216,178.81195068359375
1768543325.5370398,139264,199.72769165039062
1768543330.0835266,141312,176.19354248046875
1768543334.7465832,143360,161.6836395263672
1768543339.9650655,145408,143.49440002441406
1768543344.7980716,147456,143.49440002441406
1768543349.2835853,149504,159.66468811035156
1768543353.9293637,151552,159.66468811035156
1768543358.44945,153600,160.37132263183594
1768543362.8910785,155648,160.37132263183594
1768543367.7089434,157696,181.72642517089844
1768543373.6369834,159744,181.72642517089844
1768543378.8986952,161792,196.85012817382812
1768543384.175955,163840,176.79421997070312
1768543388.961748,165888,176.79421997070312
1768543393.5939593,167936,181.22682189941406
1768543398.2603328,169984,181.22682189941406
1768543402.862454,172032,183.6840362548828
1768543407.203779,174080,183.6840362548828
1768543411.7406697,176128,184.87937927246094
1768543416.4265003,178176,172.4091033935547
1768543420.8458252,180224,172.4091033935547
1768543426.4039674,182272,185.3861083984375
1768543432.1389363,184320,185.3861083984375
1768543437.2158628,186368,157.19009399414062
1768543443.8370154,188416,143.4989471435547
1768543450.5941124,190464,143.4989471435547
1768543456.2479572,192512,146.98330688476562
1768543460.731721,194560,146.98330688476562
1768543465.140763,196608,148.77862548828125
1768543469.9307342,198656,148.77862548828125
1768543474.4971883,200704,169.02450561523438
1768543479.0497775,202752,169.02450561523438
1768543485.098765,204800,169.9874267578125
1768543490.3228931,206848,158.1924591064453
1768543495.5167406,208896,158.1924591064453
1768543500.5120263,210944,168.75836181640625
1768543505.1371415,212992,168.75836181640625
1768543509.7173324,215040,177.4127960205078
1768543514.6215606,217088,177.4127960205078
1768543519.6665049,219136,171.03298950195312
1768543524.1407576,221184,171.03298950195312
1768543529.3119664,223232,172.3074951171875
1768543534.5809863,225280,172.3074951171875
1768543539.0941193,227328,172.7344512939453
1768543543.791478,229376,172.7344512939453
1768543548.3981323,231424,168.2841796875
1768543553.1699395,233472,168.2841796875
1768543557.9408188,235520,177.7789306640625
1768543563.4435236,237568,166.06573486328125
1768543568.5717094,239616,152.8899383544922
1768543573.292684,241664,152.8899383544922
1768543577.836362,243712,153.49710083007812
1768543582.9181428,245760,153.49710083007812
1768543587.4307039,247808,155.08670043945312
1768543592.2509184,249856,155.08670043945312
1768543597.5880148,251904,159.9047393798828
